name,org
"Brian Smith","IBM"
"Brian Barrett",Sandia National Laboratory
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Bill Gropp","U. Illinois"
"Torsten Hoefler","U. Illinois"
"Josh Hursey",Oak Ridge National Laboratory
"Hideyuki Jitsumoto","University of Tokyo"
"Quincey Koziol","HDF Group"
"Rolf Rabenseifner","HLRS"
"Jeff Squyres","Cisco"
"Keith Underwood","Intel"
"Rajeev Thakur","Argonne National Laboratory"
"Sadaf Alam","CSCS"
"Pavan Balaji","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Bronis R. de Supinksi",Lawrence Livermore National Laboratory
"Jim Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle"
"Jeff Hammond","Argonne National Laboratory"
"Jennifer Herrett-Skjellum","Run-Time Computing Solutions"
"Josh Hursey","Oak Ridge National Laboratory"
"Dries Kimpe","U. Chicago"
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Steve Oyanagi","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","U. Alabama Birmingham"
"David Solt","HP"
"Shinji Sumimoto","Fujitsu"
"Sayantan Sur","The Ohio State U."
"Fabian 'Count' Tillier","Microsoft"
