issue_number,topic,type,yes,no,abstain,missed
228,"MPIR Specification - An Official Companion Document for the MPI Standard",1st,16,0,5,0
109,"Nonblocking Collective Operations (integration into MPI-3 latex)",2nd,17,0,4,0
