name,org,attend
"Min Si","Argonne National Laboratory",1
"Atsushi Hori","RIKEN",1
"Besnard Jean-Baptiste","ParaTools",1
"Isaías Alberto Comprés Ureña","TU Munich",1
"Julien Jaeger","CEA",1
"Martina Prugger","University of Innsbruck",1
"Shinji Sumimoto","Fujitsu",1
"Dan Holmes","EPCC, The University of Edinburgh",1
"Sergio Rivas-Gomez","KTH Royal Institute of Technology",1
"Jim Dinan","Intel",1
"Marc-André Hermanns","Forschungszentrum Jülich",1
"Kathryn Mohror","LLNL",1
"Simon Pickartz","RWTH Aachen University",1
"Rolf Rabenseifner","University of Stuttgart, HLRS",1
"Martin Schulz","LLNL",1
"Stefan Lankes","RWTH Aachen University",1
"Chulho Kim","Lenovo",1
"Carsten Clauss","Par-Tec",1
"Michael Knobloch","Forschungszentrum Jülich GmbH",1
"Geoffroy Vallee","ORNL",1
"Salvatore Di Girolamo","ETH Zürich",1
