name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Don Kerr","Sun Microsystems"
"Darius Buntinas","Argonne National Laboratory"
"Dave Goodell","Argonne National Laboratory"
"Jeff Hammond","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Fab Tillier","Microsoft"
"Torsten Hoefler","Indiana U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Rajeev Thakur","Argonne National Laboratory"
"Hubert Ritzdorf","NEC"
"Keith Underwood","Intel"
"Sameer Kumar","IBM"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Craig Rasmussen",Los Alamos National Laboratory
"Thomas Herault","INRIA"
"Anthony Skjellum","University of Alabama at Birmingham"
"Jennifer Skjellum","RunTime Computing Solutions, LLC"
"Josh Hursey","Indiana U."
"Yutaka Ishikawa","U. of Tokyo"
"Yann Kalemkarian","Bull"
"Chulho Kim","IBM"
"Manojkumar Krishnan","Pacific Northwest National Laboratory"
"Miao Luo","Ohio State U."
"Mark Pagel","Cray"
"Rolf Rabenseifner","HLRS"
"Mark Snir","U. Illinois"
"David Solt","HP"
"Shinji Sumimoto","Fujitsu Laboratories"
"Abhinav Vishnu","Pacific Northwest National Laboratory"
