name,org
Jeff Squyres,Cisco Systems Inc.
Dan Holmes,EPCC
Martin Schulz,Lawrence Livermore National Laboratory
Alice Koniges,Lawrence Berkley National Laboratory
Wesley Bland,Intel
William Gropp,NCSA/UIUC
Takeshi Nanri,Kyushu U.
Balazs Gerofi,Riken
Hubert Ritzdorf,NEC
Brice Goglin,INRIA
Takafumi Nose,Fujitsu
Jim Dinan,Intel
Steve Oyanagi,Cray
Ammar Ahmad Awan,OSU
Keita Teranishi,Sandia
Pavan Balaji,Argonne National Laboratory
Howard Pritchard,Los Alamos National Laboratory
Ryan Grant,Sandia National Laboratory
Sylvain Jeaugey,NVIDIA
Kathryn Mohror,Lawrence Livermore National Laboratory
Anh Vo,Microsoft
Chulho Kim,Lenovo
Aurelien Bouteiller,UTK
Jeff Hammond,Intel
Ana Gainaru,Mellanox
Soren Rasmussen,U. Oregon
Craig Rasmussen,U. Oregon
Nathan Hjelm,Los Alamos National Laboratory
