name,org
Jeff Squyres,Cisco Systems Inc.
Charles Archer,Intel
Ken Raffenetti,Argonne National Laboratory
Purushotham V. Bangalore,U Alabama Birmingham
Fabian Tillier,Microsoft
Dan Holmes,EPCC
Balazs Gerofi,Riken
Martin Schulz,Lawrence Livermore National Laboratory
Aurelien Bouteiller,U Tennessee
Alice Koniges,Lawrence Berkley National Laboratory
Wesley Bland,Argonne National Laboratory
William Gropp,NCSA/UIUC
Jeff Hammond,Intel
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
Sreeram Potluri,Nvidia
Anthony Skjellum,Auburn U
Chulho Kim,Lenovo
Pavan Balaji,Argonne National Laboratory
Rolf Rabenseifner,HLRS
Kathryn Mohror,Lawrence Livermore National Laboratory
Yohann Burette,Intel
Jithin Jose,Intel
Pak Lui,Mellanox
Sayantan Sur,Intel
Hari Subramoni,OSU
Geoffroy Valee,Oak Ridge National Laboratory
Nathan Hjelm,Los Alamos National Laboratory
Ryan Grant,Sandia National Laboratory
Mohamad Chaarawi,HDF Group
Michael Blocksome,Intel
Naoki Sueyasu,Fujitsu
