name,org
"Purushotham Bangalore","University of Alabama at Birmingham"
"Brian Barrett",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Darius Buntinas","Argonne National Laboratory"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Edgar Gabriel","U. Houston"
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Thomas Herault","INRIA"
"Jennifer Herrett-Skjellum","RunTime Computing Solutions, LLC"
"Torsten Hoefler","Indiana U."
"Josh Hursey","Indianan U."
"Quincey Koziol","HDF Group"
"Dieter Kranzlmueller","LMU and LRZ Munic"
"Howard Pritchard","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Mark Snir","U. Illinois"
"Jeff Squyres","Cisco"
"Shinji Sumimoto","Fujitsu Laboratories"
"Sayantan Sur","Ohio State U."
"Rajeev Thakur","Argonne National Laboratory"
"Keith Underwood","Intel"
