name,org,attend
"Wesley Bland","Intel",1
"Jeff Squyres","Cisco",1
"Thomas Naughton","ORNL",1
"Howard Pritchard","LANL",1
"Hubert Ritzdorf","NEC Deutschland GmbH",1
"Julien Adam","PARATOOLS SAS",1
"Pavan Balaji","Argonne National Laboratory",1
"Shinji Sumimoto","Fujitsu",1
"Martin Ruefenacht","University of Tennessee at Chattanooga",1
"Atsushi Hori","Riken",1
"Dan Holmes","EPCC, The University of Edinburgh",1
"Joseph Schuchart","Stuttgart University",1
"Jithin Jose","Microsoft",1
"Nicholas Radcliffe","Cray",1
"Purushotham Bangalore","University of Alabama at Birmingham",1
"Ryan Grant","Sandia National Laboratories",1
"Guillaume Mercier","Bordeaux INP",1
"Kathryn Mohror","LLNL",1
"Ken Raffenetti","Argonne National Laboratory",1
"Amit Ruhela","The Ohio State University",1
"Keita Teranishi","Sandia National Laboratories",1
"Martin Schulz","Technical University of Munich",1
"Artem Polyakov","Mellanox Technologies",1
"Brandon Cook","LBNL",1
"Akshay Venkatesh","NVIDIA",1
"Richard Graham","Mellanox Technologies",1
"Chulho Kim","Lenovo",1
