name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Devendar Bureddy","OSU"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"James Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle America, Inc."
"Brice Goglin","INRIA"
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Torsten Hoefler","Indiana U."
"Hideyuki Jitsumoto","University of Tokyo"
"Quincey Koziol","HDF Group"
"Josh Hursey",Oak Ridge National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Steve Oyanagi","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Sayantan Sur","The Ohio State U."
"Fabian Tillier","Microsoft"
"Rajeev Thakur","Argonne National Laboratory"
"Keith Underwood","Intel"
"Jay Lofstead",Sandia National Laboratory
"Douglas Miller","IBM"
"Rolf Rabenseifner","HLRS"
"Brian Smith","IBM"
"Shinji Sumimoto","Fujitsu"
