name,org
"Brian Barrett",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Greg Bronevetsky",Lawrence Livermore National Laboratory
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Terry Dontje","Sun Microsystems"
"Edgar Gabriel","U. Houston"
"Johann George","QLogic"
"Dave Goodell","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Bill Gropp","U. Illinois"
"Erez Haba","Microsoft"
"Thomas Herault","INRIA"
"Torsten Hoefler","Indiana U."
"Josh Hursey","Indiana U."
"Yutaka Ishikawa","University of Tokyo"
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"Yann Kalemkarian","Bull"
"Kannan Narasimhan","HP"
"Matthew Koop","Ohio State U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Howard Pritchard","Cray"
"Rolf Rabenseifner","HLRS"
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","U. Alabama at Birmingham"
"Jeff Squyres","Cisco"
"Rajeev Thakur","Argonne National Laboratory"
"Vinod Tipparaju","ORNL"
"Jesper Traff","NEC"
"Keith Underwood","Intel"
"Christian Bell","Myricom"
"Sameer Kumar","IBM"
