name,org
"Antonio Pena",Argonne National Laboratory
"Jim Dinan","Intel"
"Ryan Grant",Sandia National Laboratory
"Rich Graham","Mellanox"
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Balazs Gerofi","University of Tokyo"
"Daniel Holmes","EPCC"
"George Bosilca (not registered)","INRIA"
"Manjunath Gorentla Venkata",Oak Ridge National Laboratory
"Michael Blocksome","IBM"
"Jerome Vienne","TACC"
"Amin Hassani","U. Alabama Birmingham"
"Krishna Kandalla","Cray"
"Satantan Sur","Intel"
"Qunciey Kozoil","HDF"
"Fabian Tillier","Microsoft"
"David Goodell","Cisco"
"Junchao Zhang",Argonne National Laboratory
"Huiwei Lu",Argonne National Laboratory
"Sreeram Porluri","Ohio State University"
"Pavan Balaji",Argonne National Laboratory
"Wesley Bland",Argonne National Laboratory
"Ken Raffenetti",Argonne National Laboratory
"Brian Barrett",Sandia National Laboratory
"Kathryn Morhor",Lawrence Livermore National Laboratory
"Raghunath Raja Chandrasekar","Ohio State University"
"Nathan Heljm",Los Alamos National Laboratory
"Alice Koniges",Lawrence Berkely National Laboratory
"Jeff Hammond",Argonne National Laboratory
