"name","org","remote","attend"
"Wes Bland","Meta","1","1"
"Maria Garzaran","Intel Corporation","1","1"
"Ken Raffenetti","Argonne National Laboratory","1","1"
"Michael Klemm","AMD","1","-1"
"Dan Holmes","Intel Corporation","1","1"
"Marc-André Hermanns","RWTH Aachen University","1","1"
"Claudia Blaas-Schenner","VSC Research Center, TU Wien","1","1"
"Joshua Hursey","IBM","1","-1"
"Howard Pritchard","Los Alamos National Laboratory","0","1"
"Nat Shineman","Ohio State University","1","1"
"Shinji Sumimoto","The University of Tokyo","1","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","1","1"
"Rolf Rabenseifner","HLRS, University of Stuttgart","1","1"
"Thomas Naughton","Oak Ridge National Laboratory","1","1"
"Amir Shehata","Oak Ridge National Laboratory","1","1"
"Edgar Gabriel","AMD","0","1"
"Jim Dinan","NVIDIA","0","1"
"Benson Muite","Kichakato Kizito","1","1"
"Guillaume Mercier","INRIA","1","1"
"Jeff Hammond","NVIDIA","0","1"
"Martin Schulz","Technical University of Munich","0","1"
"Tobias Haas","HLRS, University of Stuttgart","1","1"
"Bill Williams","ZIH, TU Dresden","1","1"
"Christoph Niethammer","HLRS, University of Stuttgart","1","1"
"Julien Jaeger","CEA","0","1"
"Ludovic Capelli","EPCC, The University of Edinburgh","1","1"
"Quincey Koziol","Amazon","0","1"
"Matthew G. F. Dosanjh","Sandia National Laboratory","1","1"
"Joseph Schuchart","University of Tennessee, Knoxville","1","1"
"Purushotham V. Bangalore","University of Alabama","1","-1"
"Riley Shipley","University of Tennessee, Chattanooga","0","1"
"Martin Ruefenacht","Leibniz Supercomputing Centre","0","1"
"Christian Nicole Avans","University of Tennessee, Chattanooga","0","1"
"Brian Smith","Cornelis Networks","0","1"
"Thomas Gillis","Argonne National Laboratory","0","1"
"William Gropp","University of Illinois Urbana-Champaign","0","1"
"Jean-Baptiste Besnard","ParaTools SAS","1","1"
"Ryan Grant","Queen's University","1","1"
"Hugo Taboada","CEA","1","-1"
"Hui Zhou","Argonne National Laboratory","0","1"
"Michael Knobloch","Forschungszentrum Julich","1","1"
"Nysal Jan K A","IBM","1","1"
"Aurelien Bouteiller","University of Tennessee, Knoxville","1","1"
"William Okuno","HPE","1","1"
"Victor Eijkhout","The Texas Advanced Computing Center","1","1"
"Derek Schafer","University of New Mexico","1","1"
