name,org
"Antonio Pena",Argonne National Laboratory
"Alexander Supalov","Intel"
"Ryan Grant",Sandia National Laboratory
"Richard Graham","Mellanox"
"Martin Schulz",Lawrence Livermore National Laboratory
"Yuichi Tsujita","Riken AICS"
"Jeff Squyres","Cisco"
"Balazs Gerofi","University of Tokyo"
"Daniel Holmes","EPCC"
"Takeshi Nanri","Kyushu University"
"Torsten Hoefler","ETH Zurich"
"Bill Gropp","NCSA/UIUC"
"Guilaume Mercier","INRIA"
"Manjunath Gorentla Venkata",Oak Ridge National Laboratory
"Thomas Francois","IBM"
"Rolf Rabenseifner","HLRS"
"Atsushi Hori","Riken ACS"
"Masamichi Takagi","NEC"
