"name","org","attend"
"Wes Bland","Intel Corporation","1"
"Brian Smith","Oak Ridge National Laboratory","1"
"Sayan Ghosh","Pacific Northwest National Laboratory","1"
"Bill Williams","ZIH, TU Dresden","1"
"Maria Garzaran","Intel Corporation","1"
"Martin Ruefenacht","Leibniz Supercomputing Centre","1"
"George Bosilca","University of Tennessee, Chattanooga","1"
"Matthew G. F. Dosanjh","Sandia National Laboratory","1"
"Purushotham Bangalore","University of Alabama","1"
"Ahmed Eleliemy","University of Basel","1"
"Ryan Grant","Queen's University","1"
"Joseph Schuchart","University of Tennessee, Knoxville","1"
"William Gropp","University of Illinois Urbana-Champaign","1"
"Michael Klemm","AMD","1"
"Thomas Naughton","Oak Ridge National Laboratory","1"
"James Dinan","NVIDIA","1"
"Vivek Kale","Brookhaven National Laboratory","1"
"Ali Mohammed","HPE","1"
"Hugo Taboada","CEA","1"
"Guillaume Mercier","INRIA","1"
"Brice Goglin","INRIA","1"
"Christoph Niethammer","HLRS, University of Stuttgart","1"
"Ken Raffenetti","Argonne National Laboratory","1"
"Martin Schulz","Technical University of Munich","1"
"Benson Muite","Kichakato Kizito","1"
"Shinji Sumimoto","Fujitsu","1"
"Michael Knobloch","Forschungszentrum Julich","1"
"Julien Jaeger","CEA","1"
"Samuel K. Gutierrez","Los Alamos National Laboratory","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","1"
"Jean-Baptiste BESNARD","ParaTools SAS","1"
