name,org,attend
"Anthony Skjellum","UTC",1
"Shinji Sumimoto","Fujitsu",1
"Claudia Blaas-Schenner","TU Wien",1
"Marc-André Hermanns","Forschungszentrum Jülich GmbH",1
"Guillaume Papauré","Atos",1
"Dan Holmes","EPCC, The University of Edinburgh",1
"Rolf Rabenseifner","HLRS",1
"Purushotham V. Bangalore","University of Alabama at Birmingham",1
"Richard Graham","Mellanox Technologies",1
"Ken Raffenetti","Argonne National Laboratory",1
"Jim Dinan","Intel",1
"William Gropp","NCSA",1
"Taylor Groves","LBL",1
"Nathan Hjelm","Los Alamos National Lab",1
"Atsushi Hori","Riken",1
"Guillaume Mercier","Bordeaux INP",1
"James Clark","ARM",1
"Julien Jaeger","CEA",1
"Hubert Ritzdorf","NEC Deutschland GmbH",1
"Artem Polyakov","Mellanox Technologies Inc",1
"Jean-Baptiste Besnard","ParaTools SAS",1
"Geoffroy Vallee","ORNL",1
"Martin Schulz","Technical University of Munich",1
"Antonio Peña","Barcelona Supercomputing Center",1
"Kim Kyunghun","Barcelona Supercomputing Center",1
