name,org
"Brian Barrett",Sandia National Laboratory
"Purushotham Bangalore","U. Alabama Birmingham"
"David Goodell","Argonne National Laboratory"
"Manjunath Gorentla Venkata",Oak Ridge National Laboratory
"Richard Graham","Mellanox"
"Bill Gropp","U. Illinois"
"Nathan Heljm",Los Alamos National Laboratory
"Hideyuki Jitsumoto","University of Tokyo"
"Alexander Supalov","Intel"
"Tomotake Nakamura","Riken AICS"
"Rolf Rabenseifner","HLRS"
"Brian Smith",Oak Ridge National Laboratory
"Jeff Squyres","Cisco"
"Shinji Sumumoto","Fujitsu"
"Aurelien Bouteiller","U. Tennessee Knoxville"
"Takeshi Nanri","Kyushu University"
"Paddy Gillies","AWE Plc"
"Christian Siebert","German Research School for Simulation Sciences"
"Atsushi Hori","Riken AICS"
"George Bosilca","INRIA",
