"name","org","remote","attend"
"Wes Bland","Meta","0","1"
"Joseph Schuchart","University of Tennessee, Knoxville","0","1"
"Julien Jaeger","CEA","0","1"
"Derek Schafer","University of New Mexico","0","1"
"William Gropp","University of Illinois Urbana-Champaign","0","1"
"Thomas Naughton","Oak Ridge National Laboratory","0","1"
"Martin Schulz","Technical University of Munich","0","1"
"Maria Garzaran","Intel Corporation","0","1"
"Martin SCHREIBER","Université Grenoble Alpes","0","1"
"Ryan Grant","Queen's University","0","1"
"Michael Klemm","AMD","0","1"
"Purushotham V. Bangalore","University of Alabama","0","1"
"Ken Raffenetti","Argonne National Laboratory","0","1"
"Christoph Niethammer","HLRS, University of Stuttgart","0","1"
"Dan Holmes","Intel Corporation","0","1"
"Nat Shineman","Ohio State University","0","1"
"Edgar Gabriel","AMD","0","1"
"Michael Knobloch","Forschungszentrum Julich","0","1"
"Florent Germain","Atos","0","1"
"Hugo Taboada","CEA","0","1"
"Pedram Mohammadalizadehbakhtevari","AMD","0","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","0","1"
"Guillaume Mercier","INRIA","0","1"
"Bill Williams","ZIH, TU Dresden","0","1"
"Tobias Haas","HLRS, University of Stuttgart","0","1"
