name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Graham Fletcher","Argonne National Laboratory"
"Edgar Gabriel","U. Houston"
"Dave Goodell","Argonne National Laboratory"
"Thomas Herault","INRIA"
"Torsten Hoefler","U. Illinois"
"Josh Hursey","Indianan U."
"Yutaka Ishikawa","U. of Tokyo"
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"Quincey Koziol","HDF Group"
"Manojkumar Krishnan","Pacific Northwest National Laboratory"
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Steve Oyanagi","Cray"
"Rolf Rabenseifner","HLRS"
"Hubert Ritzdorf","NEC"
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","U. of Alabama at Birmingham"
"David Solt","HP"
"Jeff Squyres","Cisco"
"Shinji Sumimoto","Fujitsu Laboratories"
"Sayantan Sur","Ohio State U."
"Rajeev Thakur","Argonne National Laboratory"
"Fab Tillier","Microsoft"
"Richard Treumann","IBM"
"Keith Underwood","Intel"
"Rolf vande Vaart","Oracle"
"Abhinav Vishnu","Pacific Northwest National Laboratory"
