name,org
"Ron Brightwell",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Terry Dontje","Sun Microsystems"
"Dave Goodell","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Pavan Balaji","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Bill Gropp","U. Illinois"
"Erez Haba","Microsoft"
"Thomas Herault","INRIA"
"Torsten Hoefler","Indiana U."
"Josh Hursey","Indiana U."
"Yutaka Ishikawa","University of Tokyo"
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"Matthew Koop","Ohio State U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Rolf Rabenseifner","HLRS"
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Rajeev Thakur","Argonne National Laboratory"
"Vinod Tipparaju","ORNL"
"Hubert Ritzdorf","NEC"
"Alexander Supalov","Intel"
"Bin Jia","IBM"
"Mark Pagel","Cray"
"Nathan DeBardeleben",Los Alamos National Laboratory
"Craig Rasmussen",Los Alamos National Laboratory
"Tim Mattox","SiCortex"
"Ali AyoubAli","Mellanox"
"Jeff Hammond","University of Chicago"
