name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"James Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle America, Inc."
"Dave Goodell","Argonne National Laboratory"
"Torsten Hoefler","Indiana U."
"Hideyuki Jitsumoto","University of Tokyo"
"Quincey Koziol","HDF Group"
"Mohamed Chaarwai","HDF Group"
"Josh Hursey",Oak Ridge National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Howard Pritchard","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Devendar, Bureddy","The Ohio State U."
"Sreeram Potluri","The Ohio State U."
"Eric Lantz","Microsoft"
"Rajeev Thakur","Argonne National Laboratory"
"Scott McMillan","Intel"
"Douglas Miller","IBM"
"Rolf Rabenseifner","HLRS"
"Brian Smith","IBM"
"Shinji Sumimoto","Fujitsu"
"Aurelien Bouteiller","U. Tennessee"
"Ron Brightwell",Sandia National Laboratory
"George Carr","NOAA"
"Jeff Hammond","Argonne National Laboratory"
"Atsushi Hori","Riken ACS"
"Kathryn Mohor",Lawrence Livermore National Laboratory
"Craig Rasmussen",Los Alamos National Laboratory
"David Solt","HP"
