name,org
"Nysal Jan Kandarumadathil Amanulla","IBM"
"Purushotham Bangalore","UAB"
"George Bosilca","U. Tennessee"
"Ron Brightwell",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"David Mark","Presidency College"
"Brice Goglin","INRIA"
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Bill Gropp","U. Illinois"
"Marc-André Hermanns","German Research School for Simulation Sciences"
"Torsten Hoefler","U. Illinois"
"Josh Hursey",Oak Ridge National Laboratory
"Yutaka Ishikawa","University of Tokyo"
"Hideyuki Jitsumoto","University of Tokyo"
"Yann Kalemkarian","Bull"
"Christof Klausecker","Ludwig-Maximilians U. Munich"
"Alice Koniges",Lawrence Berkely National Laboratory
"Quincey Koziol","HDF Group"
"Sameer Kumar","IBM"
"Rolf Rabenseifner","HLRS"
"Craig Rasmussen","LANL"
"Jeff Squyres","Cisco"
"Hubert Ritzdorf","NEC"
"Timo Schneider","T. U. Chemnitz"
"Christian Siebert","German Research School for Simulation Sciences"
"Shinji Sumimoto","Fujitsu"
"Alexander Supalov","Intel"
"Rajeev Thakur","Argonne National Laboratory"
