name,org
"Ron Brightwell",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Rolf Vandevaart","Sun Microsystems"
"Darius Buntinas","Argonne National Laboratory"
"Pavan Balaji","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Erez Haba","Microsoft"
"Torsten Hoefler","Indiana U."
"Miao Luo","Ohio State U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Rajeev Thakur","Argonne National Laboratory"
"Vinod Tipparaju","ORNL"
"Hubert Ritzdorf","NEC"
"Keith Underwood","Intel"
"Sameer Kumar","IBM"
"Howard Pritchard","Cray"
"Craig Rasmussen",Los Alamos National Laboratory
"Weikuan Yu","Auburn University"
"Anthony Skjellum","University of Alabama at Birmingham"
"Purushotham Bangalore","University of Alabama at Birmingham"
"Greg Bronevetsky",Lawrence Livermore National Laboratory
"Manojkumar Krishnan","Pacific Northwest National Laboratory"
"Abhinav Vishnu","Research scientist"
