name,org,attend
"Julien Jaeger","CEA",1
"Wesley Bland","Intel",1
"Jeff Squyres","Cisco Systems, Inc.",1
"George Bosilca","University of Tennessee, Knoxville",1
"Artem Polyakov","Mellanox Technologies",1
"Kathryn Mohror","LLNL",1
"Shinji Sumimoto","Fujitsu",1
"Brandon Cook","LBNL",1
"Sourav Chakraborty","Ohio State University",1
"Ken Raffenetti","Argonne National Laboratory",1
"Nicholas Radcliffe","Cray",1
"Claudia Blaas-Schenner","TU Wien",1
"Josh Hursey","IBM",1
"Dan Holmes","EPCC, The University of Edinburgh",1
"Howard Pritchard","LANL",1
"Hui Zhou","Argonne National Lab",1
"Rolf Rabenseifner","HLRS, University of Stuttgart",1
"Thomas Naughton","ORNL",1
"Ignacio Laguna","LLNL",1
"Atsushi Hori","Riken",1
"Brian Smith","ORNL",1
"Jithin Jose","Microsoft",1
"Ryan Marshall","University of Tennessee at Chattanooga",1
"Martin Ruefenacht","UTC",1
"Purushotham Bangalore","University of Alabama at Birmingham",1
"Geoffroy Vallee","ORNL",1
"Julien Adam","PARATOOLS",1
"Richard Graham","Mellanox Technologies, Inc.",1
"Martin Schulz","TU-Munich",1
"Guillaume Papauré","Atos",1
