name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"George Bosilca","U. Tennessee, Knoxville"
"Darius Buntinas","Argonne National Laboratory"
"Devendar Bureddy","Ohio State U."
"Mohamad Chaarawi","HDF Group"
"Bronis de Supinksi",Lawrence Livermore National Laboratory
"Jim Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle"
"Dave Goodell","Argonne National Laboratory"
"Bill Gropp","U. Illinois"
"Jeff Hammond","Argonne National Laboratory"
"Torsten Hoefler","Indiana U."
"Atsushi Hori","Riken AICS"
"Hideyuki Jitsumoto","University of Tokyo"
"Josh Hursey",Oak Ridge National Laboratory
"Scott McMillan","Intel"
"Doug Miller","IBM"
"Adam Moody",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Fab Tillier","Microsoft"
"Rajeev Thakur","Argonne National Laboratory"
"Rolf Rabenseifner","HLRS"
"Brian Smith","IBM"
"Shinji Sumimoto","Fujitsu"
"Kathryn Mohor",Lawrence Livermore National Laboratory
"Craig Rasmussen",Los Alamos National Laboratory
"David Solt","Platform"
"Tomotake Nakamura","Riken AICS"
"Sreeram Potluri","Ohio State U."
"Marc Snir","Argonne National Laboratory"
