name,org
"Balaji, Pavan","Argonne National Laboratory"
"Bangalore, Purushotham (Puri)","UAB"
"Barrett, Brian","Sandia National Laboratory"
"Barrett, Richard","Oak Ridge National Laboratory"
"Bell, Christian ","QLogic"
"Blackmore, Robert","IBM"
"Bosilca, George","UTK"
"Brightwell, Ron","Sandia National Laboratory"
"Brown, Jef","LArgonne National Laboratory"
"Buntinas, Darius","Argonne National Laboratory"
"de Supinski, Bronis","Lawrence Livermore National Laboratory"
"DeBardeleben, Nathan","LArgonne National Laboratory"
"Dontje, Terry ","SUN"
"Ellis, Edric","Mathworks"
"Feind, Karl","SGI"
"Gabriel, Edgar","U of Houston"
"Geoffray, Patrick","Myricom"
"Gingold, David","SiCortex"
"Goodell, Dave","Argonne National Laboratory"
"Graham, Rich","Oak Ridge National Laboratory"
"Gropp, Bill","UIUC"
"Haba, Erez","Microsoft"
"Herault, Thomas","Inria"
"Hodson, Steve","Oak Ridge National Laboratory"
"Hoefler, Torsten","Indiana U."
"Hursey, Josh","Indiana U."
"Kalemkarian, Yann","Bull"
"Kaushik, Kannan","HP"
"Keller, Rainer","HLRS"
"Koop, Matthew","Ohio State"
"Koziol, Quincey","HDF Group"
"Livny, Miron","U of Wisconsin"
"Lumsdaine, Andrew ","IU"
"Lusk, Rusty","Argonne National Laboratory"
"Moody, Adam","Lawrence Livermore National Laboratory"
"Pagel, Mark","Cray"
"Pant, Avneesh","UIUC"
"Poole, Steve","Oak Ridge National Laboratory"
"Rabenseifner, Rolf","HLRS"
"Ritzdorf, Hubert","NEC"
"Ross, Rob","Argonne National Laboratory"
"Smith, Brian","IBM"
"Squyres, Jeff","Cisco"
"Supalov, Alexander","Intel"
"Thakur, Rajeev","Argonne National Laboratory"
"Tipparaju, Vinod","Pacific Northwest National Laboratory"
"Underwood, Keith","Intel",
