name,org
"Pavan Balaji","Argonne National Laboratory"
"Purushotham V. Bangalore","U. Alabama at Birmingham"
"William Gropp","Argonne National Laboratory"
"Jesper Traff","NEC"
"Pavel Shamis","Mellanox"
"Rolf Rabenseifner","HLRS"
"Erez Haba","Microsoft"
"Torsten Hoefler","Indiana U."
"Hubert Ritzdorf","NEC"
"David Goodell","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Matthew Koop","Ohio State U."
"Richard Graham",Oak Ridge National Laboratory
"Terry Dontje","Sun Microsystems"
"Jeff Squyres","Cisco Systems"
"Ron Brightwell","Sandia"
"Rajeev Thakur","Argonne National Laboratory"
"Yutaka Ishikawa","U. of Tokyo"
"Thomas Herault","INRIA"
"George Bosilca","U. Tennessee"
"Sameer Kumar","IBM"
"Robert Blackmore","IBM"
"Jonathan Carter",Lawrence Berkley National Laboratory
"Bronis deSupinski",Lawrence Livermore National Laboratory
"David Ginglod","SiCortex"
"Josh Hursey","Indiana U."
"Quincey Koziol","The HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Howard Pritchard","Cray, Inc."
"Keith Underwood","Intel Corporation"
"Hideyuki JITSUMOTO","Tokyo Institute of Technology"
"Yann Kalemkarian","Bull"
"Kanna Narasimhan","HP"
