"name","org","remote","attend"
"Wes Bland","Meta","0","1"
"Nat Shineman","Ohio State University","0","1"
"Bill Williams","CIDS, ZIH, TUD Dresden University of Technology","0","1"
"Sonja Happ","ParTec","0","1"
"Hugo Taboada","CEA","0","1"
"Pepper Marts","HPE","0","1"
"Joseph Schuchart","Stony Brook University","0","1"
"Howard Pritchard","Los Alamos National Laboratory","0","1"
"David DeBonis","AMD","0","1"
"Benson Muite","Kichakato Kizito","0","1"
"William Gropp","University of Illinois Urbana-Champaign","0","1"
"Ignacio Laguna","Lawrence Livermore National Laboratory","0","1"
"Shinji Sumimoto","The University of Tokyo","0","1"
"Christoph Niethammer","HLRS, University of Stuttgart","0","1"
"Ali Mohammed","HPE","0","1"
"Julien Jaeger","CEA","0","1"
"Sam White","Intel Corporation","0","1"
"David Boehme","Lawrence Livermore National Laboratory","0","1"
"Nitin Bhat","Intel Corporation","0","1"
"Karthikeyan Vaidyanathan","Intel Corporation","0","1"
"Anthony Skjellum","Tennessee Technological University","0","1"
"Evan Suggs","Tennessee Technological University","0","1"
"Kayla Humphrey","Tennessee Technological University","0","1"
"Florent GERMAIN","Eviden","0","1"
"Tim Niklas Uhl","Karlsruhe Institute of Technology (KIT)","0","1"
"Patrick Bridges","University of New Mexico","0","1"
"C. Nicole Avans","Tennessee Technological University","0","1"
"Brian Smith","Oak Ridge National Laboratory","0","1"
"Guillaume Mercier","INRIA","0","1"
"Derek Schafer","University of New Mexico","0","1"
"Ken Raffenetti","Cornelis Networks","0","1"
"Hui Zhou","Argonne National Laboratory","0","1"
"Matthew Whitlock","Sandia National Laboratory","0","1"
"Naina Kuruballi Mahesh","Meta","0","1"
"Dominik Huber","Technical University of Munich","0","1"
"Tobias Haas","HLRS, University of Stuttgart","0","1"
"Martin Schulz","Technical University of Munich","0","1"
"Michael Knobloch","Forschungszentrum Julich","0","1"
"Claudia Blaas-Schenner","VSC Research Center, TU Wien","0","1"
