name,org
"Pavan Balaji","Argonne National Laboratory"
"George Bosilca","U. Tennessee, Knoxville"
"Ron Brightwell",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Devendar Bureddy","Ohio State U."
"Arno Candel","Skytree, Inc."
"Bronis de Supinksi",Lawrence Livermore National Laboratory
"Jim Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle"
"Dave Goodell","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Torsten Hoefler","Indiana U."
"Josh Hursey",Oak Ridge National Laboratory
"Krishna Kandalla","Ohio State U."
"Alice Koniges","Berkeley Lab / NERSC"
"Quincey Koziol","The HDF Group"
"Doug Miller","IBM"
"Adam Moody",Lawrence Livermore National Laboratory
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Tomotake Nakamura","Riken AICS"
"Howard Pritchard","Cray"
"Rolf Rabenseifner","HLRS"
"Anthony Skjellum","UAB"
"Marc Snir","Argonne National Laboratory"
"Jeff Squyres","Cisco"
"Shinji Sumimoto","Fujitsu"
"Sayantan Sur","Intel"
"Fab Tillier","Microsoft"
"Keith Underwood","Intel"
