name,org
Jeff Squyres,Cisco Systems Inc.
Ken Raffenetti,Argonne National Laboratory
Lena Oden,Argonne National Laboratory
Junchao Zhang,Argonne National Laboratory
Rajeev Thakur,Argonne National Laboratory
Purushotham Bangalore,U Alabama Birmingham
Anh Vo,Microsoft
Daniel Holmes,EPCC
Atsushi Hori,Riken
Martin Schulz,Lawrence Livermore National Laboratory
Ignacio Laguna Peralta,Lawrence Livermore National Laboratory
Aurelien Bouteiller,U Tennessee
Alice Koniges,Lawrence Berkley National Laboratory
Wesley Bland,Intel
William Gropp,NCSA/UIUC
Jeff Hammond,Intel
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
Sreeram Potluri,Nvidia
Anthony Skjellum,Auburn U
Chulho Kim,Lenovo
Pavan Balaji,Argonne National Laboratory
Sangmin Seo,Argonne National Laboratory
Rolf Rabenseifner,HLRS
Kathryn Mohror,Lawrence Livermore National Laboratory
Richard Graham,Mellanox
Sayantan Sur,Intel
Xioyi Lu,OSU
Howard Pritchard,Los Alamos National Laboratory
Nathan Hjelm,Los Alamos National Laboratory
Ryan Grant,Sandia National Laboratory
Takafumi Nose,Fujitsu
Sameh Sharkawi,IBM
Takeshi Nanri,Kyushu U.
Krishna Kandalla,Cray
