topic,yes,no,abstain,missed
"MPI-1.3, 2nd vote:",22,1,0,4
"MPI-2.1, 2nd vote:",23,0,0,4
"MPI-2.2 Remove send buffer restriction, 1st vote:",19,1,3,4
"MPI-2.2 const for C bindings, 1st vote:",17,4,6,0
