name,org
"Pavan Balaji","Argonne National Laboratory"
"William Gropp","Argonne National Laboratory"
"Jesper Traff","NEC"
"Pavel Shamis","Mellanox"
"Rolf Rabenseifner","HLRS"
"Erez Haba","Microsoft"
"Torsten Hoefler","Indiana U."
"Pavan Balaji","Argonne National Laboratory"
"Hubert Ritzdorf","NEC"
"David Goodell","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Nathan DeBardeleben",Los Alamos National Laboratory
"Matthew Koop","Ohio State U."
"Edgar Gabriel","U. Houston"
"David Solt","HP"
"Richard Graham",Oak Ridge National Laboratory
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"Alexander Supalov","Intel"
"Terry Dontje","Sun Microsystems"
"Jeffrey Brown",Los Alamos National Laboratory
"Rainer Keller","HLRS"
"Martin Schulz",Lawrence Livermore National Laboratory
"Brian Smith","IBM"
"Christian Siebert","NEC"
"Jeff Squyres","Cisco Systems"
"Ron Brightwell","Sandia"
"Edric Ellis","The Mathworks"
"Marc-André Hermanns","Forschungszentrum J�lich"
"Rajeev Thakur","Argonne National Laboratory"
"Jonathan Carter",Lawrence Berkely National Laboratory
"Johann George","QLogic"
"Yutaka Ishikawa","U. of Tokyo"
"Brian Smith","IBM"
"Naoki SUEYASU","Fujitsu Limited"
"Thomas Herault","INRIA"
"Naoki SUEYASU","Fujitsu Limited"
"George Bosilca","U. Tennessee"
"Vinod Tipparaju",Oak Ridge National Laboratory
"Sameer Kumar","IBM"
