name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett","Sandia National Laboratory"
"Anthony Skjellum","U. Alabama Birmingham"
"Darius Buntinas","Argonne National Laboratory"
"Quincey Koziol","HDF Group"
"David Goodell","Argonne National Laboratory"
"Manjunath Gorentla Venkata","Oak Ridge National Laboratory"
"Richard Graham","Mellanox"
"Jeff Hammond","Argonne National Laboratory"
"Nathan Heljm","Los Alamos National Laboratory"
"Torsten Hoefler","ETH Zurich"
"Scott McMillan","Intel"
"Kathryn Mohror","Lawrence Livermore National Laboratory"
"Adam Moody","Lawrence Livermore National Laboratory"
"Tomotake Nakamura","Riken AICS"
"Krishna Kandalla","Ohio State U."
"Howard Pritchard","Cray"
"Martin Schulz","Lawrence Livermore National Laboratory"
"David Solt","IBM"
"Jeff Squyres","Cisco"
"Takahiro Kawashima","Fujitsu"
"Fab Tillier","Microsoft"
"Alice Koniges","Lawrence Berkely National Laboratory"
"Brian Barrett","Sandia National Laboratory"
"Sayantan Sur","Intel"
"Yutaka Ishikawa","University of Tokyo"
"Daniel Holmes","EPCC"
"Brice Goglin","INRIA"
