name,org
"Pavan Balaji",Argonne National Laboratory
"James Dinan",Argonne National Laboratory
"Brian Barrett",Sandia National Laboratory
"Anthony Skjellum","U. Alabama Birmingham"
"Mohamad Chaarawi","HDF Group"
"David Goodell","Argonne National Laboratory"
"Manjunath Gorentla Venkata","Oak Ridge National Laboratory"
"Richard Graham","Mellanox"
"Jeff Hammond",Argonne National Laboratory
"Nathan Heljm",Los Alamos National Laboratory
"Sayantan Sur","Intel"
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Tomotake Nakamura","Riken AICS"
"Raghunath Raja Chandrasekar","Ohio State U."
"Steve Oyanagi","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Charles Archer","IBM"
"Jeff Squyres","Cisco"
"Fab Tillier","Microsoft"
"Anh Vo","Microsoft"
"Alice Koniges",Lawrence Berkely National Laboratory
"Brian Barrett",Sandia National Laboratory
"Yutaka Ishikawa","University of Tokyo"
"Daniel Holmes","EPCC"
"William Gropp","NCSA/UIUC"
"Wesley Bland","U. Tennessee Knoxville"
"Jerome Vienne","Texas Advanced Computing Center"
"Rajeev Thakur",Argonne National Laboratory
"Takeshi Nanri","Kyushu University"
