issue_number,pr_number,topic,type,yes,no,abstain,missed
696,,"Merge Side Documents Definition With All Other Types of Documents",procedure
813,,"Remove FRM Repeat Vote from Procedures",procedure
810,946,"Clarification of `mpi_memory_alloc_kinds` key behavior with `MPI_INFO_ENV`",no-no
582,715,"ULFM Fault Tolerance (slice 2: agree)",no-no
778,899,"change-log entry missing for PR 658",no-no
778,899,"change-log entry missing for PR 658",errata
811,938,"groups: relax restriction on pset name provenance",1st
582,715,"ULFM Fault Tolerance (slice 2: agree)",1st
