name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Jim Dinan","Argonne National Laboratory"
"Brice Goglin","INRIA"
"Dave Goodell","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Bill Gropp","U. Illinois"
"Torsten Hoefler","Indiana U."
"Yann Kalemkarian","Bull"
"Quincey Koziol","HDF Group"
"Amith Mamidala","IBM"
"Kathryn Mohor",Lawrence Livermore National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Rolf Rabenseifner","HLRS"
"Anthony Skjellum","U. Alabama Birmingham"
"Shinji Sumumoto","Fujitsu"
"Fabian 'Godzilla' Tillier","Microsoft"
"Keith Underwood","Intel"
