name,org
"Pavan Balaji","Argonne National Laboratory"
"George Bosilca","U. Tennessee"
"Ron Brightwell",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Jeff Hammond","Argonne National Laboratory"
"Thomas Herault","INRIA"
"Jennifer Herrett-Skjellum","RunTime Computing Solutions, LLC"
"Torsten Hoefler","Indiana U."
"Josh Hursey","Indianan U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Rolf Rabenseifner","HLRS"
"Craig Rasmussen",Los Alamos National Laboratory
"Anthony Skjellum","University of Alabama at Birmingham"
"Brian Smith","IBM"
"Mark Snir","U. Illinois"
"Jeff Squyres","Cisco"
"Hari Subramoni","Ohio State U."
"Sayantan Sur","Ohio State U."
"Rajeev Thakur","Argonne National Laboratory"
"Fab Tillier","Microsoft"
"Vinod Tipparaju",Oak Ridge National Laboratory
"Keith Underwood","Intel"
"Rolf vande Vaart","Oracle"
