name,org
"Pavan Balaji","Argonne National Laboratory"
"Puri Bangalore","University of Alabama at Birmingham"
"George Bosilca","U. Tennessee"
"Darius Buntinas","Argonne National Laboratory"
"Terry Dontje","Sun Microsystems"
"Gabor Dozsa","IBM"
"Dave Goodell","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Bill Gropp","Argonne National Laboratory"
"Thomas Herault","INRIA"
"Marc-Andre Hermanns","Forschungszentrum Julich"
"Torsten Hoefler","Indiana U."
"Quincey Koziol","HDF Group"
"Rolf Rabenseifner","HLRS"
"Jeff Squyres","Cisco"
"Shinji Sumimoto","Fujitsu Laboratories"
"Alexander Supalov","Intel Corporation"
"Jesper Traff","NEC Laboratories Europe",
