name,org
"Sameer Kumar","IBM"
"Brian Barrett",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Rich Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"Torsten Hoefler","U. Illinois"
"Josh Hursey",Oak Ridge National Laboratory
"Hideyuki Jitsumoto","University of Tokyo"
"Quincey Koziol","HDF Group"
"Rolf Rabenseifner","HLRS"
"Jeff Squyres","Cisco"
"Keith Underwood","Intel"
"Bronis R. de Supinksi",Lawrence Livermore National Laboratory
"James Dinan","Argonne National Laboratory"
"Rolf vandeVaart","Oracle"
"Jeff Hammond","Argonne National Laboratory"
"Josh Hursey",Oak Ridge National Laboratory
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","U. Alabama Birmingham"
"Sayantan Sur","The Ohio State U."
"Fabian Tillier","Microsoft"
"Ron Brightwell",Sandia National Laboratory
"Yann Kalemkarian","Bull"
"Tim Murray","NVIDIA Corporation"
"Craig Rasmussen",Los Alamos National Laboratory
"Rolf Riesen",Sandia National Laboratory
"Gilad Shainer","Mellanox Technologies"
"Alexander Supalov","Intel Corporation"
"George Bosilca","University of Tennessee"
