name,org
Jeff Squyres,Cisco Systems Inc.
Dan Holmes,EPCC
Atsushi Hori,Riken
Martin Schulz,Lawrence Livermore National Laboratory
George Bosilca,U Tennessee
Alice Koniges,Lawrence Berkley National Laboratory
Wesley Bland,Intel
William Gropp,NCSA/UIUC
Rolf Rabenseifner,HLRS
Richard Graham,Mellanox
Takeshi Nanri,Kyushu U.
Siegmar Gross,U. Applied Sciences Fulda
Balazs Gerofi,Riken
Gil Bloch,Mellanox
Ivy Peng,KTH Royal Institute of Technology
Julien Jaeger,CEA
Hubert Ritzdorf,NEC
Jean-Baptiste Besnard,ParaTools
Marc-André Hermanns,JSC
Steffen Christgau,University of Pottsdam
Ilya Ivanov,KTH Royal Institute of Technology
Christian Engelmann,Oak Ridge National Laboratory
Brice Goglin,INRIA
Geoffroy Vallee,Oak Ridge National Laboratory
Takafumi Nose,Fujitsu
Jim Dinan,Intel
