name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"Devendar Bureddy","OSU"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"Terry Dontje","Oracle America, Inc."
"Richard Graham",Oak Ridge National Laboratory
"Dave Goodell","Argonne National Laboratory"
"William Gropp","UIUC/NCSA"
"Torsten Hoefler","Indiana U."
"Hideyuki Jitsumoto","University of Tokyo"
"Quincey Koziol","HDF Group"
"Josh Hursey",Oak Ridge National Laboratory
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Howard Pritchard","Cray"
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","U. Alabama Birmingham"
"Jeff Squyres","Cisco"
"Sayantan Sur","The Ohio State U."
"Fabian Tillier","Microsoft"
"Rajeev Thakur","Argonne National Laboratory"
"Keith Underwood","Intel"
"Craig Rasmussen",Los Alamos National Laboratory
"Gilad Shainer","Mellanox Technologies"
"Jim Dinan","Argonne National Laboratory"
"Jeff Hammond","Argonne National Laboratory"
"Ron Brightwell",Sandia National Laboratory
