name,org
"Brian Smith","Mellanox"
"Purushotham Bangalore","UAB"
"Nicholas Radcliffe","Cray"
"Shinji Sumimoto","Fujitsu"
"Alexander Calvert","Auburn University"
"Martin Schulz","Lawrence Livermore National Lab."
"Anthony Skjellum","Auburn University"
"Atsushi Hori","RIKEN"
"Soren Rasmussen","University of Oregon"
"Jean-Baptiste Besnard","ParaTools"
"Guillaume Mercier","Inria"
"Dan Holmes","EPCC, The University of Edinburgh"
"Hari Subramoni","The Ohio State University"
"Nawrin Sultana","Auburn University"
"Kathryn Mohror","LLNL"
"Marc PERACHE","CEA"
"Jeff Hammond","Intel"
"Ben Bratu","Atos"
"Davide Rossetti","NVIDIA"
"Hubert Ritzdorf","NEC"
"Ken Raffenetti","Argonne National Laboratory"
"Matthew Dosanjh","Sandia National Laboratories"
"Aurelien Bouteiller","The University of Tennessee"
"Anh Vo","Microsoft"
"Sayantan Sur","Intel Corp."
"Alice Koniges","Lawrence Berkeley National Lab"
"Nathan Hjelm","Los Alamos National Laboratory"
