name,org
"Ron Brightwell",Sandia National Laboratory
"George Bosilca","U. Tennessee"
"Terry Dontje","Sun Microsystems"
"Darius Buntinas","Argonne National Laboratory"
"Pavan Balaji","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Erez Haba","Microsoft"
"Torsten Hoefler","Indiana U."
"Miao Luo","Ohio State U."
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Rajeev Thakur","Argonne National Laboratory"
"Jesper Traff","NEC"
"Keith Underwood","Intel"
"Richard Treumann","IBM"
"Steve Oyanagi","Cray"
"Craig Rasmussen",Los Alamos National Laboratory
"Weikuan Yu","Auburn University"
"Anthony Skjellum","University of Alabama at Birmingham"
"Manojkumar Krishnan","Pacific Northwest National Laboratory"
"Abhinav Vishnu","Pacific Northwest National Laboratory"
"David Solt","HP"
"Bronis de Supinski","Lawrence Livermore National Laboratory"
"Rolf Rabenseifner","HLRS"
"Jennifer Herrett-Skjellum","RunTime Computing Solutions, LLC"
"Yutaka Ishikawa","University of Tokyo"
"Joshua Hursey","Indiana U."
"Brian Barrett","Sandia National Laboratories"
"Fabian Tillier","Microsoft"
"William Gropp","U. Illinois"
"Thomas Herault","INRIA"
"Hideyuki Jitsumoto","Tokyo Institute of Technology"
"Dave Goodell","Argonne National Laboratory"
"Tong Liu","Mellanox Technologies"
