name,org
"Pavan Balaji","Argonne National Laboratory"
"Darius Buntinas","Argonne National Laboratory"
"Dave Goodell","Argonne National Laboratory"
"Manjunath Gorentla Vankata",Oak Ridge National Laboratory
"Jeff Hammond","Argonne National Laboratory"
"Thomas Herault","INRIA"
"Jennifer Herrett-Skjellum","RunTime Computing Solutions, LLC"
"Torsten Hoefler","Indiana U."
"Josh Hursey","Indianan U."
"Yutaka Ishikawa","University of Tokyo"
"Bin Jia","IBM"
"Quincey Koziol","HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Anthony Skjellum","University of Alabama at Birmingham"
"Jeff Squyres","Cisco"
"Mark Pagel","Cray, Inc."
"Sayantan Sur","Ohio State U."
"Rajeev Thakur","Argonne National Laboratory"
"Fab Tillier","Microsoft"
"Rolf vande Vaart","Oracle"
"David Solt","HP"
"Shinji Sumimoto","Fujitsu"
"Alice Koniges",Lawrence Berkely National Laboratory
