name,org
Wesley Bland,Intel
Julien Jaeger,CEA
Khaled Hamidouche,OSU
Jean-Baptiste Besnard,Paratools
Aurelien Bouteiller,UTK
Pavan Balaji,Argonne National Laboratory
James Dinan,Intel
Howard Pritchard,Los Alamos National Laboratory
George Bosilca,UTK
Takafumi Nose,Fujitsu
Guillaume Mercier,INRIA
Hubert Ritzdorf,NEC
Kathryn Mohror,Lawrence Livermore National Laboratory
Ana Gainaru,Mellanox
Steve Oyanagi,Cray
James Custer,SGI
Jeff Squyres,Cisco Systems Inc.
Murali Emani,Lawrence Livermore National Laboratory
Anh Vo,Microsoft
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
Ken Raffenetti,Argonne National Laboratory
Ignacio Laguna,Lawrence Livermore National Laboratory
Marc Gamell Balmana,Rutgers U.
Alice Koniges,Lawrence Berkley National Laboratory
Rajeev Thakur,Argonne National Laboratory
Keita Teranishi,Sandia
Ryan Grant,Sandia National Laboratory
Sreeram Potluri,NVIDIA
Matthew Dosanjh,Sandia National Laboratory
Balazs Gerofi,Riken
Martin Schulz,Lawrence Livermore National Laboratory
Nathan Hjelm,Los Alamos National Laboratory
Abdelhalim Amer,Argonne National Laboratory
Daniel Holmes,EPCC
Jeff Hammond,Intel
