name,org
Quincey Koziol,HDF
Jeff Squyres,Cisco Systems Inc.
Dave Goodell,Cisco Systems Inc.
Charles Archer,Intel
Ken Raffenetti,Argonne National Laboratory
Venkat Vishwanath,Argonne National Laboratory
Purushotham Bangalore,U Alabama Birmingham
Anh Vo,Microsoft
Rolf vandeVaart,Nvidia
Dan Holmes,EPCC
Balazs Gerofi,U Tokyo
Rich Graham,Mellanox
Martin Schulz,Lawrence Livermore National Laboratory
Nathan Hjelm,Los Alamos National Laboratory
Aurelien Bouteiller,U Tennessee
Alice Koniges,Lawrence Berkley National Laboratory
Takeshi Nanri,U. Kyushu
Sangmin Seo,Argonne National Laboratory
Khaled Hamidouche,Ohio State U
Atsushi Hori,Riken
Jithin Jose,Ohio State U
David Solt,IBM
Antonio Pena Monferrer,Argonne National Laboratory
Junchao Zhang,Argonne National Laboratory
Wesley Bland,Argonne National Laboratory
Xin Zhao,NCSA/UIUC
Adam Moody,Lawrence Livermore National Laboratory
George Bosilca,U Tennessee
James Dinan,Intel
Jeff Hammond,Intel
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
