name,org
"Rolf Rabenseifner","HLRS"
"Bronis de Supinski",Lawrence Livermore National Laboratory
"George Bosilca","U. Tennessee"
"Vinod Tipparaju",Oak Ridge National Laboratory
"Richard Graham",Oak Ridge National Laboratory
"Greg Bronevetsky",Lawrence Livermore National Laboratory
"Darius Buntinas","Argonne National Laboratory"
"David Goodell","Argonne National Laboratory"
"Hubert Ritzdorf","NEC"
"William Gropp","Argonne National Laboratory"
"Yutaka Ishikawa","U. of Tokyo"
"Jesper Traff","NEC"
"Josh Hursey","Indiana U."
"Thomas Herault","INRIA"
"Torsten Hoefler","Indiana U."
"Keith Underwood","Intel Corporation"
"Mark Pagel","Cray, Inc."
"Anthony Skjellum","U. Alabama at Birmingham"
"Martin Schulz",Lawrence Livermore National Laboratory
"Quincey Koziol","The HDF Group"
"Adam Moody",Lawrence Livermore National Laboratory
"Matthew Koop","Ohio State U."
"Terry Jones",Lawrence Livermore National Laboratory
"Pavel Shamis","Mellanox"
"David Ginglod","SiCortex"
"Brian Barrett","Sandia $nl"
"Rolf Vandevaart","Sun Microsystems"
"Craig Rasmussen",Lawrence Livermore National Laboratory
"Johann George","QLogic"
"Brian Smith","IBM"
"Jeff Squyres","Cisco Systems"
"Jeff Brown",Los Alamos National Laboratory
