name,org
"Purushotham V Bangalore","Dept. of Computer and Information Sciences, UAB"
"Richard Barrett","ORNL"
"Christian Bell","QLogic Corporation"
"Gil Bloch","Mellanox Technologies"
"George Bosilca","University of Tennessee"
"Ron Brightwell","Sandia National Laboratories"
"Jeffrey Brown","LANL"
"Darius Buntinas","Argonne National Laboratory"
"Jonathan Carter","Lawrence Berkeley National Laboratory"
"Bronis de Supinski","Lawrence Livermore National Laboratory"
"Gabor Dozsa","IBM T.J. Watson Research"
"Edric Ellis","The MathWorks"
"Edgar Gabriel","University of Houston"
"Richard Graham","Oak Ridge National Laboratory"
"William Gropp","University of Illinois at Urbana-Champaign"
"Erez Haba","Microsoft"
"Robert  Harrison","Oak Ridge National Laboratory"
"Torsten Hoefler","Indiana University"
"Joshua Hursey","Indiana University"
"Yann Kalemkarian","Bull"
"Rainer Keller","High-Performance Computing Center Stuttgart (HLRS)"
"Matthew Koop","The Ohio State University"
"Quincey Koziol","The HDF Group"
"Sameer Kumar","IBM Research"
"Adam Moody","LLNL"
"Howard Pritchard","CRAY"
"Rolf Rabenseifner","HLRS, University of Stuttgart"
"Craig Rasmussen","LANL"
"Hubert Ritzdorf","NEC Europe Ltd."
"David Solt","HP"
"Jeff Squyres","Cisco Systems, Inc."
"Alexander Supalov","Intel Corporation"
"Rajeev Thakur","Argonne National Laboratory"
"Jesper Traff","Traff NEC Laboratories Europe, NEC Europe Ltd."
"Richard Treumann","IBM"
"Keith Underwood","Intel Corporation"
"Tony Skjellum","Dept. of Computer and Information Sciences, UAB"
"David Goodell","Argonne National Laboratory"
"Terry Dontje","Sun Microsystem"
