name,org
"Bill Gropp","NCSA/UIUC"
"Jeff Hammond",Argonne National Laboratory
"Pavan Balaji",Argonne National Laboratory
"Jeff Squyres","Cisco Systems, Inc."
"Dave Goodell","Cisco Systems, Inc."
"Wesley Bland",Argonne National Laboratory
"Ken Raffenetti",Argonne National Laboratory
"Akshay Venkatesh","Ohio State U"
"Purushotham Bangalore","U Alabama Birmingham"
"Ryan Grant",Sandia National Laboratory
"Fabian Tillier","Microsoft"
"Davide Rossetti","Nvidia"
"Dan Holmes","EPCC"
"Steve Oyanagi","Cray"
"Quincey Koziol","HDF"
"Charles Archer","IBM"
"Balazs Gerofi","U Tokyo"
"Joshua Ladd","Mellanox"
"Richard Graham","Mellanox"
"Keita Teranishi",Sandia National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Narthan Hjelm",Los Alamos National Laboratory
"Aurelien Bouteiller","U Tennessee"
"Alice Koniges",Lawrence Berkley National Laboratory
"Devendar Bureddy","Mellanox"
"Kathryn Mohror",Lawrence Livermore National Laboratory
