name,org
Jeff Squyres,Cisco Systems,Inc.
Charles Archer,Intel
Ken Raffenetti,Argonne National Laboratory
Purushotham Bangalore,U Alabama Birmingham
Fabian Tillier,Microsoft
Dan Holmes,EPCC
Balazs Gerofi,Riken
Masamichi Takagi,Riken
Martin Schulz,Lawrence Livermore National Laboratory
Howard Pritchard,Los Alamos National Laboratory
Aurelien Bouteiller,U Tennessee
Alice Koniges,Lawrence Berkley National Laboratory
Sangmin Seo,Argonne National Laboratory
David Solt,IBM
Wesley Bland,Argonne National Laboratory
William Gropp,NCSA/UIUC
James Dinan,Intel
Jeff Hammond,Intel
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
Sreeram Potluri,Nvidia
Kieta Teranishi,Sandia
Devendar Bureddy,Mellanox
Takahiro Kawashima,Fujitsu
Anthony Skjellum,Auburn U
Nicholas Radcliffe,Cray
Chulho Kim,Lenovo
Takeshi Nanri,U. Kyushu
Pavan Balaji,Argonne National Laboratory
Rolf Rabenseifner,HLRS
