name,org
Dave Goodell,Cisco Systems Inc.
Manjunath Gorentla Venkata,Oak Ridge National Laboratory
George Bosilca,U Tennessee
Ken Raffenetti,Argonne National Laboratory
James Dinan,Intel
Aurelien Bouteiler,U Tennessee
Martin Schulz,Lawrence Livermore National Laboratory
Balazs Gerofi,Riken
Alexey Cheptsov,HLRS
Guillaume Mercier,INRIA
Atsushi Hori,Riken
Kathryn Mohror,Lawrence Livermore National Laboratory
Torsten Hoefler,ETH
Keita Teranishi,Sandia National Laboratory
Marc-André Hermanns,GRS
Ryan Grant,Sandia National Laboratory
Takeshi Nanri,U. Kyshu
Nathan Hjelm,Los Alamos National Laboratory
Richard Graham,Mellanox
Masamichi Takagi,Riken
Shinji Sumimoto,Fujitsu
Sameer Kumar,IBM
