name,org
Wesley Bland,Intel
Aurelien Bouteiller,UTK
Pavan Balaji,Argonne National Laboratory
Howard Pritchard,Los Alamos National Laboratory
Hubert Ritzdorf,NEC
Kathryn Mohror,Lawrence Livermore National Laboratory
Jeff Squyres,Cisco Systems, Inc.
Anh Vo,Microsoft
Ken Raffenetti,Argonne National Laboratory
Ignacio Laguna,Lawrence Livermore National Laboratory
Alice Koniges,Lawrence Berkley National Laboratory
Ryan Grant,Sandia National Laboratory
Martin Schulz,Lawrence Livermore National Laboratory
Nathan Hjelm,Los Alamos National Laboratory
Daniel Holmes,EPCC
Jeff Hammond,Intel
Brian Smith,Mellanox
Takafumi Nose,Fujitsu
Nicholas,Radcliffe
Sylvain Jeaugey,NVIDIA
Hari Subramoni,The Ohio State U.
Geoffroy Vallee,$ornl
Min Si,Argonne National Laboratory
Sameh Sharkawi,IBM
Tony Skjellum,Auburn U
Richard Graham,Mellanox
Charles Archer,Intel
