name,org
"Pavan Balaji","Argonne National Laboratory"
"Brian Barrett",Sandia National Laboratory
"Aurelien Bouteiller","U. Tennessee, Knoxville"
"Darius Buntinas","Argonne National Laboratory"
"Devendar Bureddy","Ohio State U."
"Mohamad Chaarawi","HDF Group"
"Bronis de Supinksi",Lawrence Livermore National Laboratory
"James Dinan","Argonne National Laboratory"
"Terry Dontje","Oracle"
"Brice Goglin","INRIA"
"Dave Goodell","Argonne National Laboratory"
"Richard Graham",Oak Ridge National Laboratory
"Bill Gropp","U. Illinois"
"Jeff Hammond","Argonne National Laboratory"
"Thomas Herault","U. Tennessee"
"Torsten Hoefler","Indiana U."
"Atsushi Hori","Riken AICS"
"Hideyuki Jitsumoto","University of Tokyo"
"Josh Hursey",Oak Ridge National Laboratory
"Scott McMillan","Intel"
"Doug Miller","IBM"
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Adam Moody",Lawrence Livermore National Laboratory
"Tomotake Nakamura","Riken AICS"
"Takeshi Nanri","Kyushu U."
"Steve Oyanagi","Cray, Inc."
"Rolf Rabenseifner","HLRS"
"Raghunath Raja Chandrasekar","Ohio State U."
"Craig Rasmussen",Los Alamos National Laboratory
"Martin Schulz",Lawrence Livermore National Laboratory
"Anthony Skjellum","UAB"
"Brian Smith","IBM"
"Marc Snir","Argonne National Laboratory"
"David Solt","IBM"
"Jeff Squyres","Cisco"
"Shinji Sumimoto","Fujitsu"
"Fab Tillier","Microsoft"
"Rajeev Thakur","Argonne National Laboratory"
"Ahn T. Vo","Microsoft",
