name,org,attend
"Sudip Dosanjh","LBL",1
"Dan Holmes","EPCC",1
"Artem Polyakov","Mellanox",1
"William Gropp","UIUC",1
"Balazs Gerofi","RIKEN",1
"Howard Pritchard","LANL",1
"Martin Schulz","TU Munich",1
"Ignacio Laguna","LLNL",1
"Ryan Grant","Sandia",1
"Hubert Ritzdorf","NEC",1
"S. Mahdieh Ghazimirsaeed","OSU",1
"Guillaume Mercier","INRIA",1
"Rolf Rabenseifner","HLRS",1
"Nicholas Radcliffe","Cray",1
"brian smith","ORNL",1
"Julien ADAM","Paratools",1
"Hui Zhou","ANL",1
"George Bosilca","UTK",1
"Jeff Squyres","Cisco",1
"Brandon Cook","LBL",1
"David Solt","IBM",1
"Wesley Bland","Intel",1
"Thomas Naughton","ORNL",1
"Claudia Blaas-Schenner","TU Wien",1
"Shinji Sumimoto","Fujitsu",1
"Ken Raffenetti","ANL",1
