name,org
"Wesley Bland",Argonne National Laboratory
"Jim Dinan","Intel"
"Brian Barrett",Sandia National Laboratory
"Amin Hassani","U. Alabama Birmingham"
"Mohamad Chaarawi","HDF Group"
"David Goodell","Cisco Systems, Inc."
"Richard Graham","Mellanox"
"Jeff Hammond",Argonne National Laboratory
"Nathan Heljm",Los Alamos National Laboratory
"Sayantan Sur","Intel"
"Kathryn Mohror",Lawrence Livermore National Laboratory
"Steve Oyanagi","Cray"
"Atsushi Hori","Riken AICS"
"Devendar Bureddy","Ohio State U."
"Aurelien Bouteiller","U. Tennessee"
"Martin Schulz",Lawrence Livermore National Laboratory
"Jeff Squyres","Cisco"
"Anh Vo","Microsoft"
"Christos Kavouklis",Lawrence Berkely National Laboratory
"Balazs Gerofi","University of Tokyo"
"Dan Holmes","EPCC"
"Jerome Vienne","Texas Advanced Computing Center"
"Takeshi Nanri","Kyushu University"
"Kieta Teranishi",Sandia National Laboratory
"Kento Sato","Tokya Institute of Technology"
"Craig Rasmussen","U. Oregon"
"Antonio Pena",Argonne National Laboratory
"Torsten Hoefler","ETH Zurich"
