topic,type,yes,no,abstain,missed
"(No No Vote) Procedures 2.2 (MPI Companion Documents)",no-no
"Procedures 2.2 (MPI Companion Documents)",Procedure
"(No No Vote) Procedures 3.0 (Virtual Meetings and Other Items)",no-no
"Procedures 3.0 (Virtual Meetings and Other Items)",Procedure
"#60: MPI_T Deprecate Error Code MPI_T_ERR_INVALID_ITEM",2nd
"#63: Info Query Update (MPI_Comm/File/Win_get_info)",2nd
