name,org
"Brian Smith","Mellanox"
"Dan Holmes","EPCC, The University of Edinburgh"
"Wesley Bland","Intel"
"Jim Dinan","Intel"
"Ryan Grant","Sandia National Laboratories"
"Ignacio Laguna","LLNL"
"Aurelien Bouteiller","The University of Tennessee"
"Hubert Ritzdorf","NEC"
"Geoffroy Vallee","Oak Ridge National Laboratory"
"Krishna Kandalla","Cray"
"Kathryn Mohror","LLNL"
"Keita Teranishi","Sandia National Laboratories"
"Martin Schulz","LLNL"
"Sourav Chakraborty","The Ohio State University"
"Esthela Gallardo","The University of Texas at El Paso"
"Chulho Kim","Lenovo"
"Jerome Vienne","The Texas Advanced Computing Center"
"Ken Raffenetti","Argonne National Laboratory"
"David Solt","IBM"
"Takafumi Nose","Fujitsu"
"Anh Vo","Microsoft"
"Nathan Hjelm","Los Alamos National Lab"
"Lena Oden","Argonne National Laboratory"
